model,condition,CR,CR (success→success),CR (success→failure),CR (failure→success),CR (failure→failure)
BitAgent_BitAgent-Bounty-8B,init-confident,39.6% (n=197),33.3% (n=108),64.4% (n=45),12.5% (n=8),33.3% (n=36)
BitAgent_BitAgent-Bounty-8B,init-hedged,21.3% (n=197),15.8% (n=114),42.5% (n=40),16.7% (n=6),16.2% (n=37)
BitAgent_BitAgent-Bounty-8B,readHeavy-confident,38.6% (n=197),35.9% (n=117),60.0% (n=35),16.7% (n=6),30.8% (n=39)
BitAgent_BitAgent-Bounty-8B,readHeavy-hedged,23.4% (n=197),18.4% (n=125),59.3% (n=27),14.3% (n=7),15.8% (n=38)
BitAgent_BitAgent-Bounty-8B,writeHeavy-confident,21.8% (n=197),3.6% (n=111),73.2% (n=41),0.0% (n=3),21.4% (n=42)
BitAgent_BitAgent-Bounty-8B,writeHeavy-hedged,19.3% (n=197),4.3% (n=117),71.4% (n=35),0.0% (n=2),18.6% (n=43)
Qwen_Qwen3-14B-FC,init-confident,36.5% (n=197),35.6% (n=73),33.3% (n=30),54.2% (n=24),32.9% (n=70)
Qwen_Qwen3-14B-FC,init-hedged,27.9% (n=197),31.9% (n=72),24.0% (n=25),31.0% (n=29),23.9% (n=71)
Qwen_Qwen3-14B-FC,readHeavy-confident,39.1% (n=197),42.9% (n=70),44.4% (n=27),25.0% (n=24),38.2% (n=76)
Qwen_Qwen3-14B-FC,readHeavy-hedged,32.5% (n=197),30.9% (n=68),38.7% (n=31),35.0% (n=20),30.8% (n=78)
Qwen_Qwen3-14B-FC,writeHeavy-confident,25.9% (n=197),3.0% (n=67),61.1% (n=36),6.2% (n=16),33.3% (n=78)
Qwen_Qwen3-14B-FC,writeHeavy-hedged,18.3% (n=197),2.9% (n=70),48.1% (n=27),12.0% (n=25),24.0% (n=75)
Qwen_Qwen3-32B-FC,init-confident,36.5% (n=197),35.4% (n=79),42.9% (n=35),43.8% (n=16),32.8% (n=67)
Qwen_Qwen3-32B-FC,init-hedged,29.4% (n=197),34.5% (n=84),26.1% (n=23),38.9% (n=18),22.2% (n=72)
Qwen_Qwen3-32B-FC,readHeavy-confident,43.1% (n=197),40.5% (n=84),50.0% (n=30),41.2% (n=17),43.9% (n=66)
Qwen_Qwen3-32B-FC,readHeavy-hedged,30.5% (n=197),30.4% (n=92),22.7% (n=22),35.7% (n=14),31.9% (n=69)
Qwen_Qwen3-32B-FC,writeHeavy-confident,23.9% (n=197),2.9% (n=70),50.0% (n=44),7.7% (n=13),31.4% (n=70)
Qwen_Qwen3-32B-FC,writeHeavy-hedged,18.8% (n=197),7.6% (n=79),46.4% (n=28),5.9% (n=17),23.3% (n=73)
Qwen_Qwen3-8B-FC,init-confident,34.0% (n=197),41.4% (n=58),31.6% (n=19),21.7% (n=23),33.0% (n=97)
Qwen_Qwen3-8B-FC,init-hedged,26.4% (n=197),29.7% (n=64),38.1% (n=21),25.0% (n=16),21.9% (n=96)
Qwen_Qwen3-8B-FC,readHeavy-confident,37.1% (n=197),37.3% (n=67),39.1% (n=23),25.0% (n=16),38.5% (n=91)
Qwen_Qwen3-8B-FC,readHeavy-hedged,26.4% (n=197),20.0% (n=65),32.0% (n=25),20.0% (n=15),30.4% (n=92)
Qwen_Qwen3-8B-FC,writeHeavy-confident,20.8% (n=197),3.5% (n=57),30.0% (n=20),7.1% (n=14),30.2% (n=106)
Qwen_Qwen3-8B-FC,writeHeavy-hedged,14.2% (n=197),1.6% (n=62),34.8% (n=23),10.5% (n=19),18.3% (n=93)
Salesforce_Llama-xLAM-2-70b-fc-r,init-confident,38.1% (n=197),33.6% (n=128),67.9% (n=28),42.9% (n=7),29.4% (n=34)
Salesforce_Llama-xLAM-2-70b-fc-r,init-hedged,31.0% (n=197),26.6% (n=128),57.1% (n=28),50.0% (n=6),22.9% (n=35)
Salesforce_Llama-xLAM-2-70b-fc-r,readHeavy-confident,45.2% (n=197),34.8% (n=132),79.2% (n=24),71.4% (n=7),55.9% (n=34)
Salesforce_Llama-xLAM-2-70b-fc-r,readHeavy-hedged,32.5% (n=197),23.4% (n=137),63.2% (n=19),66.7% (n=6),45.7% (n=35)
Salesforce_Llama-xLAM-2-70b-fc-r,writeHeavy-confident,32.5% (n=197),10.2% (n=118),92.1% (n=38),0.0% (n=3),44.7% (n=38)
Salesforce_Llama-xLAM-2-70b-fc-r,writeHeavy-hedged,25.4% (n=197),8.8% (n=125),80.6% (n=31),33.3% (n=3),34.2% (n=38)
Salesforce_Llama-xLAM-2-8b-fc-r,init-confident,39.1% (n=197),32.1% (n=134),88.9% (n=18),16.7% (n=6),43.6% (n=39)
Salesforce_Llama-xLAM-2-8b-fc-r,init-hedged,24.4% (n=197),17.0% (n=141),90.9% (n=11),33.3% (n=6),30.8% (n=39)
Salesforce_Llama-xLAM-2-8b-fc-r,readHeavy-confident,36.0% (n=197),29.0% (n=138),64.3% (n=14),50.0% (n=4),48.8% (n=41)
Salesforce_Llama-xLAM-2-8b-fc-r,readHeavy-hedged,26.4% (n=197),19.1% (n=141),66.7% (n=12),75.0% (n=4),35.0% (n=40)
Salesforce_Llama-xLAM-2-8b-fc-r,writeHeavy-confident,25.4% (n=197),8.1% (n=124),82.1% (n=28),20.0% (n=5),40.0% (n=40)
Salesforce_Llama-xLAM-2-8b-fc-r,writeHeavy-hedged,17.3% (n=197),5.3% (n=133),78.9% (n=19),0.0% (n=5),30.0% (n=40)
Salesforce_xLAM-2-32b-fc-r,init-confident,38.6% (n=197),33.8% (n=139),70.0% (n=20),75.0% (n=4),35.3% (n=34)
Salesforce_xLAM-2-32b-fc-r,init-hedged,31.0% (n=197),25.4% (n=134),73.9% (n=23),37.5% (n=8),21.9% (n=32)
Salesforce_xLAM-2-32b-fc-r,readHeavy-confident,42.1% (n=197),36.7% (n=139),77.8% (n=18),50.0% (n=6),44.1% (n=34)
Salesforce_xLAM-2-32b-fc-r,readHeavy-hedged,32.0% (n=197),27.5% (n=142),58.8% (n=17),50.0% (n=4),35.3% (n=34)
Salesforce_xLAM-2-32b-fc-r,writeHeavy-confident,23.4% (n=197),7.1% (n=127),75.0% (n=32),25.0% (n=4),35.3% (n=34)
Salesforce_xLAM-2-32b-fc-r,writeHeavy-hedged,18.8% (n=197),6.2% (n=128),69.0% (n=29),25.0% (n=8),21.9% (n=32)
Salesforce_xLAM-2-3b-fc-r,init-confident,35.0% (n=197),28.1% (n=114),76.0% (n=25),60.0% (n=5),28.3% (n=53)
Salesforce_xLAM-2-3b-fc-r,init-hedged,26.9% (n=197),18.8% (n=112),61.5% (n=26),33.3% (n=6),26.4% (n=53)
Salesforce_xLAM-2-3b-fc-r,readHeavy-confident,31.0% (n=197),26.5% (n=117),61.9% (n=21),57.1% (n=7),25.0% (n=52)
Salesforce_xLAM-2-3b-fc-r,readHeavy-hedged,22.3% (n=197),19.0% (n=116),43.5% (n=23),14.3% (n=7),21.6% (n=51)
Salesforce_xLAM-2-3b-fc-r,writeHeavy-confident,19.3% (n=197),5.6% (n=108),58.1% (n=31),0.0% (n=3),25.5% (n=55)
Salesforce_xLAM-2-3b-fc-r,writeHeavy-hedged,14.7% (n=197),5.4% (n=112),46.2% (n=26),0.0% (n=7),21.2% (n=52)
Team-ACE_ToolACE-2-8B,init-confident,52.8% (n=197),45.3% (n=75),94.1% (n=17),66.7% (n=3),51.0% (n=102)
Team-ACE_ToolACE-2-8B,init-hedged,48.2% (n=197),39.5% (n=76),88.2% (n=17),0.0% (n=3),49.5% (n=101)
Team-ACE_ToolACE-2-8B,readHeavy-confident,52.8% (n=197),43.6% (n=78),93.3% (n=15),40.0% (n=5),54.5% (n=99)
Team-ACE_ToolACE-2-8B,readHeavy-hedged,44.2% (n=197),38.0% (n=79),78.6% (n=14),50.0% (n=4),44.0% (n=100)
