model,condition,CR,CR (success→success),CR (success→failure),CR (failure→success),CR (failure→failure)
BitAgent_BitAgent-Bounty-8B,f-sa-interaction-confident (F-SA),20.8% (n=197),12.6% (n=87),29.2% (n=65),0.0% (n=1),25.0% (n=44)
BitAgent_BitAgent-Bounty-8B,f-sa-interaction-confident (U-SA),23.4% (n=197),4.6% (n=87),47.7% (n=65),0.0% (n=1),25.0% (n=44)
BitAgent_BitAgent-Bounty-8B,f-sa-interaction-hedged (F-SA),21.8% (n=197),11.9% (n=84),35.3% (n=68),0.0% (n=2),20.9% (n=43)
BitAgent_BitAgent-Bounty-8B,f-sa-interaction-hedged (U-SA),20.3% (n=197),4.8% (n=84),39.7% (n=68),0.0% (n=2),20.9% (n=43)
Qwen_Qwen3-14B-FC,f-sa-interaction-confident (F-SA),45.2% (n=197),15.6% (n=32),50.7% (n=67),41.7% (n=12),52.3% (n=86)
Qwen_Qwen3-14B-FC,f-sa-interaction-confident (U-SA),27.9% (n=197),3.1% (n=32),34.3% (n=67),8.3% (n=12),34.9% (n=86)
Qwen_Qwen3-14B-FC,f-sa-interaction-hedged (F-SA),40.6% (n=197),15.2% (n=46),58.5% (n=53),55.6% (n=9),41.6% (n=89)
Qwen_Qwen3-14B-FC,f-sa-interaction-hedged (U-SA),19.8% (n=197),6.8% (n=44),32.2% (n=59),0.0% (n=11),20.5% (n=83)
Qwen_Qwen3-32B-FC,f-sa-interaction-confident (F-SA),41.1% (n=197),17.6% (n=51),64.3% (n=56),25.0% (n=12),42.3% (n=78)
Qwen_Qwen3-32B-FC,f-sa-interaction-confident (U-SA),25.9% (n=197),3.9% (n=51),41.1% (n=56),0.0% (n=12),33.3% (n=78)
Qwen_Qwen3-32B-FC,f-sa-interaction-hedged (F-SA),41.6% (n=197),20.4% (n=54),64.2% (n=53),27.3% (n=11),43.0% (n=79)
Qwen_Qwen3-32B-FC,f-sa-interaction-hedged (U-SA),19.3% (n=197),3.7% (n=54),28.3% (n=53),0.0% (n=11),26.6% (n=79)
Qwen_Qwen3-8B-FC,f-sa-interaction-confident (F-SA),35.5% (n=197),12.5% (n=40),54.1% (n=37),28.6% (n=14),38.7% (n=106)
Qwen_Qwen3-8B-FC,f-sa-interaction-confident (U-SA),21.3% (n=197),2.2% (n=45),35.0% (n=40),0.0% (n=8),26.0% (n=104)
Qwen_Qwen3-8B-FC,f-sa-interaction-hedged (F-SA),31.5% (n=197),15.4% (n=52),55.3% (n=38),44.4% (n=9),29.6% (n=98)
Qwen_Qwen3-8B-FC,f-sa-interaction-hedged (U-SA),17.8% (n=197),1.9% (n=52),28.9% (n=38),0.0% (n=9),23.5% (n=98)
Salesforce_Llama-xLAM-2-70b-fc-r,f-sa-interaction-confident (F-SA),30.5% (n=197),15.2% (n=99),54.4% (n=57),0.0% (n=4),37.8% (n=37)
Salesforce_Llama-xLAM-2-70b-fc-r,f-sa-interaction-confident (U-SA),33.0% (n=197),8.1% (n=99),70.2% (n=57),0.0% (n=4),45.9% (n=37)
Salesforce_Llama-xLAM-2-70b-fc-r,f-sa-interaction-hedged (F-SA),28.4% (n=197),16.4% (n=110),52.2% (n=46),0.0% (n=4),37.8% (n=37)
Salesforce_Llama-xLAM-2-70b-fc-r,f-sa-interaction-hedged (U-SA),25.9% (n=197),7.3% (n=110),60.9% (n=46),25.0% (n=4),37.8% (n=37)
Salesforce_Llama-xLAM-2-8b-fc-r,f-sa-interaction-confident (F-SA),24.9% (n=197),12.7% (n=110),42.9% (n=42),16.7% (n=6),41.0% (n=39)
Salesforce_Llama-xLAM-2-8b-fc-r,f-sa-interaction-confident (U-SA),26.9% (n=197),4.5% (n=110),76.2% (n=42),16.7% (n=6),38.5% (n=39)
Salesforce_Llama-xLAM-2-8b-fc-r,f-sa-interaction-hedged (F-SA),26.4% (n=197),13.5% (n=111),48.8% (n=41),20.0% (n=5),40.0% (n=40)
Salesforce_Llama-xLAM-2-8b-fc-r,f-sa-interaction-hedged (U-SA),18.8% (n=197),0.9% (n=111),56.1% (n=41),0.0% (n=4),31.7% (n=41)
Salesforce_xLAM-2-32b-fc-r,f-sa-interaction-confident (F-SA),33.5% (n=197),14.4% (n=97),56.5% (n=62),33.3% (n=3),45.7% (n=35)
Salesforce_xLAM-2-32b-fc-r,f-sa-interaction-confident (U-SA),24.4% (n=197),8.2% (n=97),43.5% (n=62),33.3% (n=3),34.3% (n=35)
Salesforce_xLAM-2-32b-fc-r,f-sa-interaction-hedged (F-SA),34.0% (n=197),15.0% (n=100),61.4% (n=57),40.0% (n=5),42.9% (n=35)
Salesforce_xLAM-2-32b-fc-r,f-sa-interaction-hedged (U-SA),20.3% (n=197),6.9% (n=101),39.7% (n=58),25.0% (n=4),26.5% (n=34)
Salesforce_xLAM-2-3b-fc-r,f-sa-interaction-confident (F-SA),28.4% (n=197),12.9% (n=85),44.4% (n=54),20.0% (n=5),37.7% (n=53)
Salesforce_xLAM-2-3b-fc-r,f-sa-interaction-confident (U-SA),19.8% (n=197),5.8% (n=86),36.5% (n=52),25.0% (n=4),25.5% (n=55)
Salesforce_xLAM-2-3b-fc-r,f-sa-interaction-hedged (F-SA),24.9% (n=197),11.1% (n=90),39.6% (n=48),20.0% (n=5),35.2% (n=54)
Salesforce_xLAM-2-3b-fc-r,f-sa-interaction-hedged (U-SA),14.7% (n=197),4.3% (n=92),27.7% (n=47),0.0% (n=6),23.1% (n=52)
Team-ACE_ToolACE-2-8B,f-sa-interaction-confident (F-SA),34.5% (n=197),20.0% (n=35),60.3% (n=58),0.0% (n=4),26.0% (n=100)
Team-ACE_ToolACE-2-8B,f-sa-interaction-confident (U-SA),36.0% (n=197),13.9% (n=36),58.9% (n=56),0.0% (n=5),33.0% (n=100)
Team-ACE_ToolACE-2-8B,f-sa-interaction-hedged (F-SA),37.6% (n=197),21.6% (n=37),64.3% (n=56),0.0% (n=3),29.7% (n=101)
Team-ACE_ToolACE-2-8B,f-sa-interaction-hedged (U-SA),32.5% (n=197),10.8% (n=37),53.6% (n=56),0.0% (n=3),29.7% (n=101)
watt-ai_watt-tool-70B,f-sa-interaction-confident (F-SA),38.6% (n=197),17.1% (n=82),58.3% (n=60),N/A (n=0),49.1% (n=55)
watt-ai_watt-tool-70B,f-sa-interaction-confident (U-SA),35.5% (n=197),7.7% (n=78),61.7% (n=60),0.0% (n=2),47.4% (n=57)
watt-ai_watt-tool-70B,f-sa-interaction-hedged (F-SA),36.5% (n=197),17.1% (n=82),56.7% (n=60),N/A (n=0),43.6% (n=55)
watt-ai_watt-tool-70B,f-sa-interaction-hedged (U-SA),27.9% (n=197),7.3% (n=82),51.8% (n=56),0.0% (n=2),35.1% (n=57)
watt-ai_watt-tool-8B,f-sa-interaction-confident (F-SA),22.3% (n=197),11.1% (n=63),29.6% (n=27),25.0% (n=4),27.2% (n=103)
watt-ai_watt-tool-8B,f-sa-interaction-confident (U-SA),29.9% (n=197),9.5% (n=63),57.7% (n=26),0.0% (n=5),36.9% (n=103)
watt-ai_watt-tool-8B,f-sa-interaction-hedged (F-SA),21.8% (n=197),11.1% (n=63),33.3% (n=27),50.0% (n=4),24.3% (n=103)
watt-ai_watt-tool-8B,f-sa-interaction-hedged (U-SA),25.9% (n=197),4.8% (n=63),48.1% (n=27),0.0% (n=4),34.0% (n=103)
